Tokenized_Sentence,Tagged_Sentence
The	Fulton	County	Grand	Jury	said	Friday	an	investigation	of	Atlanta's	recent	primary	election	produced	``	no	evidence	''	that	any	irregularities	took	place	.,DET	NOUN	NOUN	ADJ	NOUN	VERB	NOUN	DET	NOUN	ADP	NOUN	ADJ	NOUN	NOUN	VERB	.	DET	NOUN	.	ADP	DET	NOUN	VERB	NOUN	.
"The	jury	further	said	in	term-end	presentments	that	the	City	Executive	Committee	,	which	had	over-all	charge	of	the	election	,	``	deserves	the	praise	and	thanks	of	the	City	of	Atlanta	''	for	the	manner	in	which	the	election	was	conducted	.",DET	NOUN	ADV	VERB	ADP	NOUN	NOUN	ADP	DET	NOUN	ADJ	NOUN	.	DET	VERB	ADJ	NOUN	ADP	DET	NOUN	.	.	VERB	DET	NOUN	CONJ	NOUN	ADP	DET	NOUN	ADP	NOUN	.	ADP	DET	NOUN	ADP	DET	DET	NOUN	VERB	VERB	.
The	September-October	term	jury	had	been	charged	by	Fulton	Superior	Court	Judge	Durwood	Pye	to	investigate	reports	of	possible	``	irregularities	''	in	the	hard-fought	primary	which	was	won	by	Mayor-nominate	Ivan	Allen	Jr.	.,DET	NOUN	NOUN	NOUN	VERB	VERB	VERB	ADP	NOUN	ADJ	NOUN	NOUN	NOUN	NOUN	PRT	VERB	NOUN	ADP	ADJ	.	NOUN	.	ADP	DET	ADJ	NOUN	DET	VERB	VERB	ADP	NOUN	NOUN	NOUN	NOUN	.
"``	Only	a	relative	handful	of	such	reports	was	received	''	,	the	jury	said	,	``	considering	the	widespread	interest	in	the	election	,	the	number	of	voters	and	the	size	of	this	city	''	.",.	ADV	DET	ADJ	NOUN	ADP	ADJ	NOUN	VERB	VERB	.	.	DET	NOUN	VERB	.	.	ADP	DET	ADJ	NOUN	ADP	DET	NOUN	.	DET	NOUN	ADP	NOUN	CONJ	DET	NOUN	ADP	DET	NOUN	.	.
The	jury	said	it	did	find	that	many	of	Georgia's	registration	and	election	laws	``	are	outmoded	or	inadequate	and	often	ambiguous	''	.,DET	NOUN	VERB	PRON	VERB	VERB	ADP	ADJ	ADP	NOUN	NOUN	CONJ	NOUN	NOUN	.	VERB	ADJ	CONJ	ADJ	CONJ	ADV	ADJ	.	.
It	recommended	that	Fulton	legislators	act	``	to	have	these	laws	studied	and	revised	to	the	end	of	modernizing	and	improving	them	''	.,PRON	VERB	ADP	NOUN	NOUN	VERB	.	PRT	VERB	DET	NOUN	VERB	CONJ	VERB	ADP	DET	NOUN	ADP	VERB	CONJ	VERB	PRON	.	.
"The	grand	jury	commented	on	a	number	of	other	topics	,	among	them	the	Atlanta	and	Fulton	County	purchasing	departments	which	it	said	``	are	well	operated	and	follow	generally	accepted	practices	which	inure	to	the	best	interest	of	both	governments	''	.",DET	ADJ	NOUN	VERB	ADP	DET	NOUN	ADP	ADJ	NOUN	.	ADP	PRON	DET	NOUN	CONJ	NOUN	NOUN	VERB	NOUN	DET	PRON	VERB	.	VERB	ADV	VERB	CONJ	VERB	ADV	VERB	NOUN	DET	VERB	ADP	DET	ADJ	NOUN	ADP	DET	NOUN	.	.
Merger	proposed,NOUN	VERB
"However	,	the	jury	said	it	believes	``	these	two	offices	should	be	combined	to	achieve	greater	efficiency	and	reduce	the	cost	of	administration	''	.",ADV	.	DET	NOUN	VERB	PRON	VERB	.	DET	NUM	NOUN	VERB	VERB	VERB	PRT	VERB	ADJ	NOUN	CONJ	VERB	DET	NOUN	ADP	NOUN	.	.
"The	City	Purchasing	Department	,	the	jury	said	,	``	is	lacking	in	experienced	clerical	personnel	as	a	result	of	city	personnel	policies	''	.",DET	NOUN	VERB	NOUN	.	DET	NOUN	VERB	.	.	VERB	VERB	ADP	VERB	ADJ	NOUN	ADP	DET	NOUN	ADP	NOUN	NOUN	NOUN	.	.
It	urged	that	the	city	``	take	steps	to	remedy	''	this	problem	.,PRON	VERB	ADP	DET	NOUN	.	VERB	NOUN	PRT	VERB	.	DET	NOUN	.
Implementation	of	Georgia's	automobile	title	law	was	also	recommended	by	the	outgoing	jury	.,NOUN	ADP	NOUN	NOUN	NOUN	NOUN	VERB	ADV	VERB	ADP	DET	ADJ	NOUN	.
It	urged	that	the	next	Legislature	``	provide	enabling	funds	and	re-set	the	effective	date	so	that	an	orderly	implementation	of	the	law	may	be	effected	''	.,PRON	VERB	ADP	DET	ADJ	NOUN	.	VERB	VERB	NOUN	CONJ	VERB	DET	ADJ	NOUN	ADP	ADP	DET	ADJ	NOUN	ADP	DET	NOUN	VERB	VERB	VERB	.	.
The	grand	jury	took	a	swipe	at	the	State	Welfare	Department's	handling	of	federal	funds	granted	for	child	welfare	services	in	foster	homes	.,DET	ADJ	NOUN	VERB	DET	NOUN	ADP	DET	NOUN	NOUN	NOUN	NOUN	ADP	ADJ	NOUN	VERB	ADP	NOUN	NOUN	NOUN	ADP	ADJ	NOUN	.
